KIC,vt
5264537,nv
5264568,nv
5264584,st
5264638,nv
5264649,nv
5264655,st
5264662,st
5264738,nv
5264764,nv
5264765,mt
5264769,nv
5264776,nv
5264795,nv
5264804,nv
5264818,eb
5264859,nv
5264865,nv
5264888,nv
5264907,nv
5264968,nv
5264970,nv
5264982,mt
5264991,lt
5265034,nv
5265060,nv
5265063,st
5265068,nv
5265090,st
5265108,nv
5265124,st
5265169,nv
5265188,nv
5265212,nv
5265221,nv
5265226,nv
5265228,nv
5265231,nv
5265241,nv
5265248,st
5265253,nv
5265256,nv
5265266,nv
5265283,mt
5265288,nv
5265292,nv
5265306,st
5265347,nv
5265350,nv
5265373,st
5265378,st
5265409,nv
5265430,nv
5265442,nv
5265461,nv
5265487,st
5265505,nv
5265517,nv
5265529,nv
5265555,nv
5265563,nv
5265566,nv
5265577,lt
5265594,nv
5265631,nv
5265656,nv
5265666,nv
5265669,nv
5265699,lt
5265726,mt
5265730,nv
5265732,nv
5265752,lt
5265774,nv
5265818,nv
5265897,nv
5265907,nv
5265916,nv
5265923,nv
5265949,nv
5265951,nv
5265982,nv
5266003,lt
5266013,st
5266045,nv
5266111,nv
5266117,nv
5266167,nv
5266188,nv
5266198,nv
5266250,nv
5266297,nv
5266322,nv
5266333,st
5266336,st
5266341,nv
5266343,nv
5266364,nv
5266369,nv
5266413,st
5266416,nv
5266476,nv
5266478,mt
5266491,nv
5266549,nv
5266694,nv
5266708,nv
5266718,nv
5266748,nv
5266827,nv
5266849,nv
5266937,eb
5267245,st
5267279,nv
5267416,nv
5267421,nv
5267541,nv
5267544,mt
5267596,nv
5267648,mt
5267656,st
5267721,nv
5267724,nv
5267757,nv
5267775,nv
5267811,nv
5267816,nv
5267861,st
5267867,st
5267939,mt
5267963,nv
5268005,nv
5268015,nv
5268035,nv
5268037,nv
5268071,nv
5268072,mt
5268091,nv
5268137,nv
5268150,nv
5268161,nv
5268212,nv
5268214,nv
5268275,nv
5268306,mt
5268339,nv
5268346,nv
5268358,nv
5268387,nv
5268409,nv
5268494,nv
5268499,nv
5268552,nv
5268576,nv
5268581,nv
5268592,nv
5268620,nv
5268672,nv
5268680,nv
5268696,nv
5268698,st
5268702,nv
5268763,nv
5268780,nv
5268823,nv
5268838,mt
5268840,nv
5268865,nv
5268904,st
5268955,nv
5269052,nv
5269058,lt
5269165,mt
5269192,nv
5269222,nv
5269295,nv
5269309,nv
5269319,nv
5269324,nv
5269381,nv
5269394,lt
5269407,eb
5269411,nv
5269428,nv
5269432,nv
5269452,mt
5269467,nv
5269472,nv
5269483,nv
5269492,nv
5269518,nv
5269524,nv
5269572,lt
5269603,nv
5269609,nv
5269621,nv
5269636,nv
5269647,nv
5269651,nv
5269670,nv
5269688,nv
5269729,nv
5269739,nv
5269746,nv
5269758,nv
5269793,st
5269799,nv
5269822,mt
5269870,lt
5269877,lt
5269971,nv
5269979,nv
5270027,st
5270035,nv
5270059,nv
5270067,nv
5270086,nv
5270106,lt
5270114,lt
5270137,nv
5270160,nv
5270173,nv
5270192,nv
5270212,st
5270235,nv
5270261,nv
5270274,nv
5270317,nv
5270330,nv
5270338,nv
5270393,nv
5270419,nv
5270459,st
5270561,nv
5270627,mt
5270652,nv
5270662,nv
5270681,nv
5270685,st
5270698,st
5270703,lt
5270705,nv
5270737,nv
5270800,nv
5270813,nv
5270814,st
5270833,nv
5270840,nv
5270852,nv
5270858,nv
5270913,lt
5270923,nv
5270933,nv
5270943,mt
5270970,st
5270971,st
5270991,nv
5271002,nv
5271028,nv
5271031,nv
5271040,nv
5271090,nv
5271138,nv
5271167,mt
5271181,nv
5271191,mt
5271224,nv
5271266,nv
5271270,st
5271275,nv
5271280,nv
5271300,mt
5271316,nv
5271329,nv
5271362,nv
5271380,mt
5271405,nv
5271408,nv
5271414,nv
5271436,nv
5271465,nv
5271478,nv
5271480,nv
5271534,st
5271575,nv
5271587,st
5271612,nv
5271623,nv
5271626,nv
5271637,nv
5271650,mt
5271669,nv
5271670,nv
5271675,nv
5271717,nv
5271723,nv
5271731,nv
5271737,nv
5271750,mt
5271767,nv
5271769,nv
5271773,nv
5271780,nv
5271803,nv
5271808,nv
5271837,nv
5271846,nv
5271872,nv
5271878,nv
5271896,nv
5271902,st
5271904,lt
5271921,nv
5271947,lt
5272035,lt
5272040,mt
5272068,nv
5272123,lt
5272153,nv
5272154,mt
5272166,mt
5272236,nv
5272275,nv
5272297,st
5272305,mt
5272326,nv
5272357,nv
5272366,nv
5272374,st
5272379,nv
5272392,nv
5272398,st
5272400,nv
5272434,nv
5272436,st
5272442,nv
5272443,mt
5272453,nv
5272458,nv
5272466,nv
5272474,nv
5272493,st
5272494,nv
