KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
2437038,0.2676785,0.0000002,54964.98069,0.049493,0.87,69.9235,10.907,15.955,5461,FALSE
7269843,0.2682156,0.0000002,54964.5678,0.016728,0.81,73.9048,14.7785,15.962,5002,FALSE
6072578,0.2696718,0.0000002,54862.14208,0.015159,0.77,76.5573,6.3477,14.677,5017,FALSE
8028158,0.2710391,0.0000033,55110.12944,0.015036,0.8,75.9632,12.6156,15.93,5484,FALSE
2435971,0.271828,0.0000002,54964.81597,0.018215,0.94,69.9236,11.0114,14.695,-1,FALSE
9026766,0.2721278,0.0000002,54964.8468,0.015238,0.76,77.9879,11.991,14.998,4880,FALSE
10802917,0.2724524,0.0000002,54999.90579,0.014633,0.74,80.7883,12.9495,15.867,4937,FALSE
3832382,0.2726487,0.0000002,54964.60315,0.014831,0.75,69.4296,14.9544,15.691,4454,FALSE
7697065,0.2727656,0.0000002,54964.7491,0.013198,0.7,77.1682,9.3134,15.115,5126,FALSE
9760531,0.2727979,0.0000002,54953.90607,0.016139,1,77.1273,16.8249,9.54,6742,TRUE
5956588,0.2729067,0.0000002,55001.90673,0.018724,0.83,73.2661,12.1578,15.833,5202,FALSE
3743834,0.2736148,0.0000002,54964.54314,0.016525,0.76,71.0807,11.1568,14.076,4889,TRUE
9935311,0.2737752,0.0000002,55001.83888,0.030067,0.82,76.5392,19.1823,14.344,4455,FALSE
11704155,0.2738674,0.0000002,54953.60457,0.016543,0.94,80.4473,17.9077,12.6,5118,FALSE
2448320,0.2741085,0.0000002,55002.0655,0.015835,0.93,70.7351,9.2544,15.858,5160,FALSE
7335517,0.2745039,0.0000002,55001.92078,0.012738,0.98,72.0625,19.5456,15.75,10758,TRUE
8739802,0.2745129,0.0000002,55001.99987,0.014498,0.93,75.2495,17.1308,14.882,5002,FALSE
4385109,0.2746477,0.0000002,54964.66795,0.016078,0.9,73.6506,7.4831,15.133,4739,FALSE
4563150,0.2747205,0.0000002,54964.76948,0.016743,0.8,72.3477,10.4208,13.997,4865,FALSE
5104097,0.2753953,0.0000002,55000.03531,0.016989,0.87,73.2338,9.9442,15.447,6224,FALSE
9772642,0.2754317,0.0000002,54953.63378,0.016441,0.8,78.8888,13.1018,13.547,4927,FALSE
8624778,0.2762617,0.0000031,55000.11741,0.015918,0.81,76.87,12.8816,17.71,6001,FALSE
7680593,0.2763915,0.0000002,54964.77709,0.015677,0.97,75.3924,12.6876,15.445,5169,FALSE
3853259,0.2766478,0.0000002,54964.78087,0.015948,0.98,71.7257,9.9958,13.922,4467,FALSE
11566174,0.2768752,0.0000002,54964.60443,0.015084,0.77,82.4065,12.8878,14.957,5300,FALSE
3354616,0.2769826,0.0000002,55000.18888,0.014963,0.76,72.1142,8.1852,15.926,5093,FALSE
10074939,0.2770936,0.0000002,55063.30504,0.015031,0.76,78.9823,13.8907,15.888,4812,FALSE
2570289,0.2790278,0.0000002,54964.57932,0.017007,0.9,70.011,10.8936,15.33,5966,FALSE
11246163,0.2792275,0.0000002,54964.56315,0.016501,0.79,81.1613,14.0329,14.605,5277,FALSE
4476900,0.2796663,0.0000002,55000.14171,0.017146,0.78,73.2886,8.4869,15.745,5222,FALSE
9508052,0.2799961,0.0000002,54964.64951,0.017348,0.91,75.474,19.8518,15.923,5004,FALSE
9357030,0.2804421,0.0000002,55001.9176,0.015656,0.93,79.6588,10.05,15.536,5452,FALSE
11352791,0.2805193,0.0000035,55000.16355,0.0169,0.92,81.3525,13.9582,15.577,6059,FALSE
5786545,0.2805751,0.0000002,55001.98749,0.015041,0.75,73.0232,12.2312,15.432,4954,FALSE
9272276,0.280613,0.0000002,54953.69809,0.01677,0.81,76.6138,15.8738,13.16,5560,FALSE
9527167,0.2808953,0.0000002,55002.15404,0.016074,0.97,78.331,13.2389,15.523,5412,FALSE
9179806,0.2809633,0.0000002,54964.81227,0.017681,0.84,80.3704,8.1437,15.173,5189,FALSE
7272739,0.2811646,0.0000002,54964.85229,0.015867,0.77,74.1809,13.9852,12.961,5192,TRUE
10600319,0.2815156,0.0000002,54964.86822,0.016,0.94,79.8916,14.0986,14.941,4848,FALSE
5218385,0.2815375,0.0000002,54964.58068,0.016167,0.78,75.5737,6.0973,14.616,5260,FALSE
7269797,0.2817924,0.0000002,54964.70849,0.017434,0.86,73.8569,14.7748,15.637,5163,FALSE
5891963,0.28196,0.0000002,54949.81913,0.015376,0.95,75.1356,8.3747,13.602,5526,FALSE
7199353,0.2819867,0.0000002,54964.81439,0.017115,0.78,74.9482,12.2056,14.49,5166,FALSE
10350225,0.2820697,0.0000002,54964.82748,0.017899,0.8,80.6392,11.5978,14.781,5455,FALSE
8626039,0.2828906,0.0000032,55000.05178,0.04617,0.85,77.0292,12.5548,16.821,-1,FALSE
6267702,0.2831963,0.0000002,54999.94969,0.015792,0.9,71.9027,16.1472,15.593,5065,FALSE
1433410,0.2832752,0.0000031,54999.95181,0.014174,0.74,69.8401,9.5895,14.119,6003,FALSE
8242493,0.2832856,0.0000002,54964.62184,0.015407,0.75,77.4263,10.5964,14.697,4985,FALSE
6929869,0.283692,0.0000002,55000.09372,0.015835,0.96,72.6536,16.4882,15.536,4992,FALSE
7440742,0.2839922,0.0000002,54949.92841,0.013575,0.73,74.8861,12.965,11.831,4834,FALSE
9533706,0.2841181,0.0000003,55002.12382,0.016446,0.78,79.1668,11.6515,15.431,5675,FALSE
4241946,0.284384,0.0000002,54999.9142,0.0162,0.75,69.6698,15.3414,15.795,4663,FALSE
11405559,0.2849367,0.0000002,54964.84459,0.015735,0.75,81.5037,13.9368,13.692,5232,FALSE
8677949,0.2849507,0.0000002,55001.95183,0.016588,0.93,75.4926,16.1422,15.898,4819,FALSE
11036301,0.2852372,0.0000002,54964.71518,0.016297,0.95,81.3669,12.6758,15.121,4708,FALSE
7367833,0.2861988,0.0000002,54964.86127,0.016739,0.77,75.7316,11.0716,15.342,5799,FALSE
5459373,0.2866088,0.0000002,54964.67089,0.016763,0.97,74.2706,8.9935,15.091,4982,FALSE
11444780,0.2867135,0.0000002,54964.58988,0.014005,0.73,79.6611,18.5049,15.732,4566,FALSE
8280135,0.286885,0.0000002,54964.79797,0.016203,0.97,73.8044,18.5696,15.653,5317,FALSE
4073678,0.2882443,0.0000027,54927.89257,0.009519,0.67,73.1669,7.795,15.447,5763,FALSE
11341950,0.2883712,0.0000002,54964.80673,0.015854,0.74,79.8505,17.4823,14.924,5511,FALSE
5699617,0.2889166,0.0000002,54964.7921,0.016878,0.77,72.8265,12.4827,14.971,4817,FALSE
6467389,0.288976,0.0000002,54953.68618,0.017779,0.79,76.6095,7.3213,13.132,5183,FALSE
9882280,0.289075,0.0000002,54964.87713,0.015868,0.77,77.6393,16.3034,14.516,5343,FALSE
4758092,0.289166,0.0000002,54964.77926,0.016704,0.9,73.5467,8.6477,15.42,5682,FALSE
9664382,0.290754,0.0000004,54999.94667,0.041055,0.75,80.162,10.099,16.584,4936,FALSE
11295026,0.2908549,0.0000002,54953.88865,0.017971,0.9,80.6304,15.2738,12.81,4988,FALSE
10322582,0.2912692,0.0000002,54964.55951,0.017759,0.88,77.243,19.2051,14.795,5806,FALSE
6128248,0.2917436,0.0000002,54964.7506,0.017248,0.76,74.3653,10.4322,15.166,4867,FALSE
5008287,0.2918775,0.0000002,54964.5618,0.017328,0.94,72.3917,11.4344,15.313,5881,FALSE
11135978,0.2920594,0.0000002,54953.92635,0.015543,0.75,80.3893,15.0164,12.331,5004,FALSE
4661397,0.2923249,0.0000002,54964.68933,0.018429,0.92,72.9406,9.4186,15.373,5546,FALSE
9995981,0.2932666,0.0000002,54964.84678,0.018254,0.87,76.8345,18.7941,15.585,5328,FALSE
10847118,0.2935526,0.0000002,54964.70295,0.017923,0.82,78.3196,18.6759,13.965,5528,FALSE
3730067,0.2940786,0.0000002,54964.88724,0.00979,0.62,69.5233,14.5179,14.61,4099,TRUE
3454864,0.2941204,0.0000002,54964.78026,0.013257,0.69,72.0952,8.4468,13.731,5791,FALSE
9145846,0.2944796,0.0000002,54964.70227,0.01615,0.96,76.5121,15.7682,15.161,4745,FALSE
12153332,0.2946266,0.0000002,54953.8711,0.016708,0.88,81.5358,17.6787,13.077,5367,FALSE
2302092,0.2946734,0.0000002,54964.69058,0.025649,0.88,70.2621,10.1328,14.44,5245,FALSE
4950505,0.2948091,0.0000002,54964.8658,0.019584,0.83,74.9806,6.5162,14.689,5625,FALSE
5543482,0.2948275,0.0000002,55000.18622,0.017215,0.8,74.2128,9.1957,15.734,5156,FALSE
10123627,0.2949393,0.0000002,54964.80741,0.017639,0.96,77.005,18.8392,15.498,4454,FALSE
9665086,0.2965356,0.0000002,55000.0799,0.012011,0.69,80.3021,10.0094,13.877,-1,FALSE
11244501,0.2966763,0.0000002,54953.81536,0.015727,0.89,80.8848,14.5094,9.849,5151,TRUE
7884426,0.2967316,0.0000002,54964.67495,0.016277,0.95,75.213,13.8958,15.113,5285,FALSE
7740566,0.2970627,0.0000002,55113.45431,0.017385,0.81,74.1432,15.6199,15.611,5526,FALSE
2715007,0.2971105,0.0000002,54964.78212,0.018796,0.87,70.7132,9.8126,14.73,5598,FALSE
6471048,0.297228,0.0000002,54953.68565,0.018704,0.77,76.8469,6.7949,12.836,4850,FALSE
6046061,0.2972557,0.0000002,54919.45441,0.015453,0.7,74.1341,10.6042,14.988,4563,FALSE
7130044,0.297665,0.0000002,54964.69561,0.016644,0.76,76.1721,9.6928,14.302,5047,FALSE
5557368,0.2979309,0.0000002,54953.76826,0.017859,0.93,75.3927,7.1645,12.65,5143,FALSE
7941050,0.2979811,0.0000002,54964.78289,0.018792,0.86,73.5165,18.1038,14.981,5069,FALSE
10149237,0.2979959,0.0000002,54951.24402,0.015818,0.93,80.0792,12.0526,15.183,5013,FALSE
10880490,0.2980053,0.0000002,54964.85789,0.016751,0.75,82.2853,10.2966,15.239,5807,FALSE
4651526,0.2981451,0.0000033,54999.97238,0.017436,0.95,71.9707,11.4159,14.754,6241,FALSE
5617953,0.298696,0.0000002,55002.06748,0.016044,0.76,73.0955,11.5756,15.885,5289,FALSE
11604958,0.2989297,0.0000002,54964.65318,0.01514,0.73,80.6097,16.8182,13.935,5286,FALSE
5961327,0.299202,0.0000002,54964.70801,0.015779,0.76,73.8531,11.1144,15.417,4842,FALSE
11127048,0.2993229,0.0000002,54964.78619,0.016569,0.94,79.0964,18.0611,15.221,5448,FALSE
8309175,0.2995914,0.0000002,54964.74857,0.016805,0.93,77.5362,10.5035,15.28,5473,FALSE
11496078,0.2997192,0.0000002,54953.59986,0.018848,0.88,79.6213,18.6903,13.475,5891,TRUE
4036687,0.2997993,0.0000033,55000.29222,0.018135,0.89,69.4926,15.2248,15.22,6200,FALSE
5881838,0.3003313,0.0000002,55005.79523,0.01591,0.73,74.1895,10.1299,14.737,5093,FALSE
