,cpcb1_flag,tb_simonian_flag,binary_berger_flag,subgiant_berger_flag,koi_flag,norot_flag
2140909.0,-999.0,-999.0,0.0,0.0,-999.0,
2141003.0,-999.0,-999.0,1.0,0.0,-999.0,
2141150.0,-999.0,-999.0,0.0,0.0,-999.0,
2141179.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2141193.0,-999.0,-999.0,0.0,0.0,-999.0,
2141781.0,-999.0,-999.0,0.0,0.0,-999.0,
2142091.0,-999.0,-999.0,0.0,0.0,-999.0,
2142372.0,-999.0,-999.0,0.0,0.0,-999.0,
2142451.0,-999.0,-999.0,0.0,0.0,-999.0,
2156061.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2156545.0,-999.0,-999.0,0.0,0.0,-999.0,
2156718.0,-999.0,-999.0,0.0,0.0,-999.0,
2156807.0,-999.0,-999.0,0.0,0.0,-999.0,
2156848.0,-999.0,-999.0,0.0,0.0,-999.0,
2157184.0,-999.0,-999.0,0.0,0.0,-999.0,
2157356.0,-999.0,-999.0,0.0,0.0,-999.0,
2157676.0,-999.0,-999.0,0.0,0.0,-999.0,
2157986.0,-999.0,-999.0,0.0,0.0,-999.0,
2158543.0,-999.0,-999.0,0.0,0.0,-999.0,
2159486.0,-999.0,-999.0,1.0,0.0,-999.0,
2160105.0,-999.0,-999.0,0.0,0.0,-999.0,
2161536.0,-999.0,-999.0,0.0,0.0,1.0,
2161569.0,-999.0,-999.0,0.0,0.0,-999.0,
2161648.0,-999.0,-999.0,0.0,0.0,-999.0,
2162268.0,-999.0,-999.0,0.0,0.0,-999.0,
2162907.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2163101.0,-999.0,-999.0,0.0,0.0,-999.0,
2163610.0,-999.0,-999.0,0.0,0.0,-999.0,
2163634.0,-999.0,-999.0,1.0,0.0,-999.0,
2165002.0,-999.0,-999.0,2.0,0.0,0.0,
2166534.0,-999.0,-999.0,0.0,0.0,-999.0,
2166547.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2167693.0,-999.0,-999.0,0.0,0.0,-999.0,
2168638.0,-999.0,-999.0,0.0,0.0,-999.0,
2282652.0,-999.0,-999.0,0.0,0.0,-999.0,
2282663.0,-999.0,-999.0,0.0,0.0,-999.0,
2282712.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2282783.0,-999.0,-999.0,1.0,0.0,-999.0,
2282944.0,-999.0,-999.0,0.0,0.0,-999.0,
2283092.0,-999.0,-999.0,0.0,0.0,-999.0,
2283703.0,1.0,-0.31,0.0,0.0,-999.0,
2283749.0,-999.0,-999.0,0.0,0.0,-999.0,
2283892.0,-999.0,-999.0,0.0,0.0,-999.0,
2284116.0,-999.0,-999.0,0.0,0.0,-999.0,
2284312.0,-999.0,-999.0,0.0,0.0,-999.0,
2284882.0,-999.0,-999.0,0.0,0.0,-999.0,
2284919.0,-999.0,-999.0,0.0,0.0,-999.0,
2285481.0,-999.0,-999.0,1.0,0.0,-999.0,
2285598.0,-999.0,-999.0,0.0,0.0,-999.0,
2298664.0,-999.0,-999.0,0.0,0.0,-999.0,
2299540.0,-999.0,-999.0,0.0,0.0,-999.0,
2299707.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2299738.0,1.0,-0.072,0.0,0.0,1.0,
2299823.0,-999.0,-999.0,1.0,0.0,-999.0,
2299892.0,-999.0,-999.0,0.0,0.0,-999.0,
2300039.0,-999.0,-999.0,0.0,0.0,-999.0,
2300096.0,-999.0,-999.0,0.0,0.0,-999.0,
2300440.0,-999.0,-999.0,0.0,0.0,-999.0,
2300770.0,-999.0,-999.0,1.0,0.0,-999.0,
2301872.0,-999.0,-999.0,0.0,0.0,-999.0,
2302108.0,-999.0,-999.0,0.0,0.0,-999.0,
2302548.0,-999.0,-999.0,0.0,0.0,0.0,
2302851.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2302997.0,-999.0,-999.0,0.0,0.0,1.0,
2303311.0,-999.0,-999.0,0.0,0.0,-999.0,
2304140.0,-999.0,-999.0,0.0,0.0,-999.0,
2304757.0,-999.0,-999.0,1.0,0.0,-999.0,
2305283.0,-999.0,-999.0,0.0,0.0,-999.0,
2305311.0,-999.0,-999.0,-999.0,-999.0,-1.0,
2305562.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2305760.0,-999.0,-999.0,0.0,0.0,-999.0,
2306630.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2307249.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2307837.0,-999.0,-999.0,-999.0,-999.0,-999.0,
